COD;TITULO;TIPO;MARCA;PRECIO COSTO;PVP;NOMBRE ARCHIVO;;;;;
KIT4DAHUAIP;DAHUA KIT NVR1104HS-P-S3/H/4- HFW1230S1P-0360B-S5-QH2 - NUEVO - 4 CAMARAS BULLET 2MP + 1 GRABADOR;IP;DAHUA;830;976.47;kit 4 camaras ip dahua.png;;;;;
KIT2DAHUAIP;DAHUA KIT-NVR4CH-2B-2D Kit Cámaras de Seguridad IP POE Full HD 2MP: NVR 4CH, 1 Cámaras Interior y 1 Cámaras Exterior;IP;DAHUA;600;705.88;kit 2 camaras ip dahua.png;;;;;
KIT8DAHUAIP;Kit de 8 Cámaras Dahua KIT-XVR8C8CH-1TB-I – Full HD, 8 Canales, Disco 1TB, Accesorios Incluidos;IP;DAHUA;1399;1645.88;kit 8 camaras ip dahua.png;;;;;
KIT2DAHUAANALOGA;KIT 2 CÁMARA SEGURIDAD DAHUA 13020602001 EXTERIOR FULL HD 1080P + DISCO 1 TB;ANALOGA;DAHUA;700;823.53;kit 2 camaras dahua.png;;;;;
KIT4DAHUAANALOGA;KIT 4 CÁMARA SEGURIDAD DAHUA 13020204027 FULL HD 1080P;ANALOGA;DAHUA;800;941.18;kit 4 camaras dahua.png;;;;;
KIT8DAHUAANALOGA;CÁMARAS SEGURIDAD KIT 8 FULL HD 1080P CON AUDIO INCORPORADO 1TB;ANALOGA;DAHUA;1175;1382.35;kit 8 camaras dahua.png;;;;;
KIT2HIKVISIONIP;Kit 2 Cámaras Seguridad IP 4 Megapixeles con Audio Vision Nocturna a Colores y POE Hikvision KITIP2_4MP;IP;HIKVISION;910;1070.59;kit 2 camaras ip hikvision.png;;;;;
KIT8HIKVISIONIP;Kit 8 Cámaras Seguridad IP 2 Megapixeles con Audio Vision Nocturna a Colores y POE Hikvision KITIP8_2MP;IP;HIKVISION;2260;2658.82;kit 8 camaras ip hikvision.png;;;;;
KIT4HIKVISIONIP;Kit 4 Cámaras Seguridad IP 2 Megapixeles con Audio Vision Nocturna a Colores y POE;IP;HIKVISION;1250;1470.59;kit 4 camaras ip hikvision.png;;;;;
KIT4HIKVISIONWIFID;Kit 4 Cámaras Domo interior IP WIFI Hikvision NK844WDH 4 Megapixeles con Audio NVR 8 canales;WIFI;HIKVISION;1429;1681.18;kit 4 camaras wifi hikvision domo.png;;;;;
KIT4HIKVISIONWIFIT;Kit 4 Cámaras Tubo exterior IP WIFI Hikvision NK844WBH 4 Megapixeles con Audio NVR de 8 canales;WIFI;HIKVISION;990;1164.71;kit 4 camaras wifi hikvision.png;;;;;
KIT2HIKVISIONWIFIT; Kit  2 Camaras Bala para Exterior con Lente 2.8mm y Dual Light Inalámbrico 4 Megapíxel / NVS 4ch /;WIFI;HIKVISION;500;588.24;kit 2 camaras wifi hikvision.png;;;;;
KIT2HIKVISIONANALOGA;Kit 2 Cámaras Full Hd con Audio y Luz híbrida inteligente Hikvision;ANALOGA;HIKVISION;790;929.41;kit 2 camaras hikvision.png;;;;;
KIT4HIKVISIONANALOGA;Kit de 4 Cámaras Full Hd con Audio con Luz híbrida inteligente Hikvision;ANALOGA;HIKVISION;1080;1270.59;kit 4 camaras hivision.png;;;;;
KIT8HIKVISIONANALOGA;Kit de 8 Cámaras Full Hd con Audio con Luz híbrida inteligente;ANALOGA;HIKVISION;1900;2235.29;kit 8 camaras hikvision.png;;;;;
