COD;MARCA;GRAFICA;PROCESADOR;GEN;RAM;SSD; PRECIO IMPORT ;PRECIO VENTA;RUTA;TIPO
0125-S;HP;IRIS;I3;12v;8 GB;256 GB; S/ 1,099.0 ; S/ 1,318.80 ;\imagenes\hp 25.png;ECONOMICA
0126-S;HP;IRIS;I3;12v;8 GB;512 GB; S/ 1,199.0 ; S/ 1,438.80 ;\imagenes\hp 26.png;ECONOMICA
0127-S;HP;IRIS;I5;12v;8 GB;512 GB; S/ 1,399.0 ; S/ 1,678.80 ;\imagenes\hp 27.png;MEDIO
0128-S;HP;IRIS;I5;12v;16 GB;512 GB; S/ 1,549.0 ; S/ 1,858.80 ;\imagenes\hp 28.png;MEDIO
0104-S;LENOVO;IRIS;I3;12v;8 GB;256 GB; S/ 1,099.0 ; S/ 1,263.85 ;\imagenes\lenovo 04.png;ECONOMICA
0108-S;LENOVO;IRIS;I5;13V;8 GB;512 GB; S/ 1,499.0 ; S/ 1,723.85 ;\imagenes\lenovo 08.png;MEDIO
0109-S;LENOVO;IRIS;I5;13V;16 GB;512 GB; S/ 1,649.0 ; S/ 1,896.35 ;\imagenes\lenovo 09.png;MEDIO
0114-S;LENOVO;IRIS;I7;12v;16 GB;512 GB; S/ 1,949.0 ; S/ 2,241.35 ;\imagenes\lenovo 14.png;ALTA
0115-S;LENOVO;NVIDIA;I7;12v;16 GB;512 GB; S/ 1,999.0 ; S/ 2,398.80 ;\imagenes\lenovo 15.png;ALTA
0116-S;LENOVO;NVIDIA;I7;12v;16 GB;1TB; S/ 2,099.0 ; S/ 2,518.80 ;\imagenes\lenovo 16.png;ALTA
0160-S;ASUS;NVIDIA;I7;13V;16 GB;512 GB; S/ 2,099.0 ; S/ 2,413.85 ;\imagenes\asus 60.png;ALTA
0154-S;ASUS;NVIDIA;I5;13V;16 GB;512 GB; S/ 1,699.0 ; S/ 1,953.85 ;\imagenes\asus 54.png;MEDIO
0149-S;ASUS;IRIS;I5;12v;8 GB;512 GB; S/ 1,399.0 ; S/ 1,608.85 ;\imagenes\asus 49.png;ECONOMICA
0148-S;ASUS;IRIS;I5;13V;8 GB;512 GB; S/ 1,199.0 ; S/ 1,378.85 ;\imagenes\asus 48.png;ECONOMICA
G0005-S;ASUS;NVIDIA;I5;13V;16 GB;512 GB; S/ 2,949.0 ; S/ 3,391.35 ;\imagenes\asus g5.png;ALTA
G0006-S;ASUS;NVIDIA;I7;13V;16 GB;512 GB; S/ 3,249.0 ; S/ 3,736.35 ;\imagenes\asus g6.png;ALTA
G0007-S;ASUS;NVIDIA;I7;13V;16 GB;1TB; S/ 4,199.0 ; S/ 4,828.85 ;\imagenes\asus g7.png;ALTA
G0008-S;HP;NVIDIA;I5;12v;8 GB;512 GB; S/ 2,299.0 ; S/ 2,643.85 ;\imagenes\asus g8.png;ALTA
G0009-S;HP;NVIDIA;I7;13V;16 GB;1TB; S/ 3,349.0 ; S/ 3,851.35 ;\imagenes\asus g9.png;ALTA
;;;;;;;;;;
